"","ArrivalDate","MODALPRICE","arrivalquantity"
"14",2012-12-10,6050,"0.1"
"15",2012-12-19,6050,"0.1"
"16",2012-12-20,6050,"0.1"
"17",2012-12-26,5900,"0.1"
"18",2012-12-29,5900,"0.1"
"166280",2013-01-07,5900,"0.1"
"166281",2013-01-11,5900,"0.1"
"166282",2013-02-02,5900,"0.1"
"166283",2013-02-07,5900,"0.1"
"166284",2013-02-08,5900,"0.1"
"166285",2013-02-11,5900,"0.1"
"166286",2013-02-14,5900,"0.1"
"166287",2013-02-15,5900,"0.1"
"166288",2013-02-19,5900,"0.1"
"166289",2013-02-28,5950,"0.1"
"166290",2013-03-05,6450,"0.1"
"166291",2013-03-06,6450,"0.1"
"166292",2013-03-13,6032,"0.1"
"166293",2013-03-16,6000,"0.1"
"166294",2013-03-20,6000,"0.1"
"166295",2013-03-25,6000,"0.1"
"166296",2013-03-26,6000,"0.1"
"166297",2013-03-30,6000,"0.1"
"166298",2013-04-03,6150,"20.9"
"166299",2013-04-04,6150,"0.1"
"166300",2013-04-10,6250,"0.1"
"166301",2013-04-11,6250,"0.1"
"166302",2013-04-12,6250,"0.1"
"166303",2013-04-17,6350,"0.1"
"166304",2013-04-18,6350,"0.1"
"166305",2013-04-19,6850,"0.1"
"166306",2013-04-25,6350,"0.1"
"166307",2013-04-26,6350,"0.1"
"166308",2013-05-09,6350,"0.1"
"166309",2013-05-14,6350,"0.1"
"166310",2013-05-15,6600,"0.1"
"166311",2013-05-16,6600,"0.1"
"166312",2013-05-17,6600,"0.1"
"166313",2013-05-18,6600,"0.1"
"166314",2013-05-20,6600,"0.1"
"166315",2013-05-21,6600,"0.1"
"166316",2013-05-22,6600,"0.1"
"166317",2013-05-23,6600,"0.1"
"166318",2013-05-27,6600,"0.1"
"166319",2013-05-30,6600,"0.1"
"166320",2013-05-31,6600,"0.1"
"166321",2013-06-03,6600,"0.1"
"166322",2013-06-05,6600,"0.1"
"166323",2013-06-06,6600,"0.1"
"166324",2013-06-10,6600,"0.1"
"166325",2013-06-12,6600,"0.1"
"166326",2013-06-13,6600,"0.1"
"166327",2013-06-17,6600,"0.1"
"166328",2013-06-18,6600,"0.1"
"166329",2013-06-20,6600,"0.1"
"166330",2013-06-21,6600,"0.1"
"166331",2013-06-24,6600,"0.1"
"166332",2013-06-26,6600,"0.1"
"166333",2013-06-27,6600,"0.1"
"166334",2013-06-28,6600,"0.1"
"166335",2013-07-01,6600,"0.1"
"166336",2013-07-02,6600,"0.1"
"166337",2013-07-09,6650,"0.1"
"166338",2013-07-20,6650,"0.1"
"166339",2013-07-22,6650,"0.1"
"166340",2013-07-23,6650,"0.1"
"166341",2013-07-25,6700,"0.1"
"166342",2013-07-29,6650,"0.1"
"166343",2013-07-30,6650,"0.1"
