,ArrivalDate,T,RA
1,9/1/2010,26.2,1
2,9/2/2010,29.2,1
3,9/3/2010,29.1,0
4,9/4/2010,26.5,1
5,9/5/2010,27.4,1
6,9/6/2010,24.9,1
7,9/7/2010,27.1,1
8,9/8/2010,28.2,1
9,9/9/2010,24.6,1
10,9/10/2010,24.4,1
11,9/11/2010,27.7,0
12,9/12/2010,28.7,1
13,9/13/2010,29.6,0
14,9/14/2010,28.2,1
15,9/15/2010,28.5,1
16,9/16/2010,25.8,1
17,9/17/2010,29,1
18,9/18/2010,29.6,0
19,9/19/2010,25.5,1
20,9/20/2010,26.1,0
21,9/21/2010,28,0
22,9/22/2010,28.6,1
23,9/23/2010,29.9,0
24,9/24/2010,27.4,1
25,9/25/2010,26.8,1
26,9/26/2010,25.3,1
27,9/27/2010,26.2,1
28,9/28/2010,24.7,1
29,9/29/2010,27.3,0
30,9/30/2010,28.4,0
31,10/1/2010,27.2,0
32,10/2/2010,29,0
33,10/3/2010,29.6,0
34,10/4/2010,28.7,0
35,10/5/2010,28.8,0
36,10/6/2010,26.6,0
37,10/7/2010,27.1,0
38,10/8/2010,24.2,1
39,10/9/2010,23.6,1
40,10/10/2010,25.7,0
41,10/11/2010,25.9,0
42,10/12/2010,26,0
43,10/13/2010,25.7,0
44,10/14/2010,27.3,1
45,10/15/2010,26.8,1
46,10/16/2010,25.7,0
47,10/17/2010,24.6,1
48,10/18/2010,25.1,0
49,10/19/2010,27.3,0
50,10/20/2010,27.9,0
51,10/21/2010,25.2,1
52,10/22/2010,24.6,0
53,10/23/2010,25.7,1
54,10/24/2010,26.6,0
55,10/25/2010,25.2,1
56,10/26/2010,26.1,0
57,10/27/2010,26.2,0
58,10/28/2010,24,1
59,10/29/2010,25.1,0
60,10/30/2010,25.1,0
61,10/31/2010,24.5,0
62,11/1/2010,22.4,1
63,11/2/2010,23,1
64,11/3/2010,23.8,0
65,11/4/2010,23.8,0
66,11/5/2010,23.9,0
67,11/6/2010,23.4,0
68,11/7/2010,23.4,0
69,11/8/2010,22.9,0
70,11/9/2010,22.6,0
71,11/10/2010,22.1,0
72,11/11/2010,23.4,0
73,11/12/2010,23.3,0
74,11/13/2010,22.6,0
75,11/14/2010,20.6,1
76,11/15/2010,21.9,0
77,11/16/2010,22.4,0
78,11/17/2010,22.3,0
79,11/18/2010,22.4,0
80,11/19/2010,21.1,1
81,11/20/2010,19.3,1
82,11/21/2010,18.8,1
83,11/22/2010,18.8,0
84,11/23/2010,19.8,0
85,11/24/2010,19.8,0
86,11/25/2010,20.5,0
87,11/26/2010,22.1,0
88,11/27/2010,22.7,0
89,11/28/2010,22.5,0
90,11/29/2010,20.4,1
91,11/30/2010,18,1
92,12/1/2010,18.6,0
93,12/2/2010,18.7,0
94,12/3/2010,18.6,0
95,12/4/2010,18,0
96,12/5/2010,17.7,0
97,12/6/2010,17.5,0
98,12/7/2010,18.1,0
99,12/8/2010,19.8,0
100,12/9/2010,17.2,1
101,12/10/2010,19.3,0
102,12/11/2010,19.9,0
103,12/12/2010,17.8,1
104,12/13/2010,16.8,0
105,12/14/2010,17.4,0
106,12/15/2010,17.8,0
107,12/16/2010,17.4,0
108,12/17/2010,18.2,0
109,12/18/2010,17.2,0
110,12/19/2010,17,0
111,12/20/2010,17.1,0
112,12/21/2010,16.1,0
113,12/22/2010,15.7,0
114,12/23/2010,16.9,0
115,12/24/2010,16.9,0
116,12/25/2010,16.7,0
117,12/26/2010,16.2,0
118,12/27/2010,15.8,0
119,12/28/2010,15.8,0
120,12/29/2010,16,0
121,12/30/2010,16.2,0
122,12/31/2010,16.6,0
123,1/1/2011,20.3,0
124,1/2/2011,20.3,0
125,1/3/2011,19.7,0
126,1/4/2011,18.2,1
127,1/5/2011,20.4,0
128,1/6/2011,21.8,0
129,1/7/2011,21.2,0
130,1/8/2011,21.2,0
131,1/9/2011,22,0
132,1/10/2011,17.8,1
133,1/11/2011,15.6,1
134,1/12/2011,16.7,0
