ArrivalDate,T,RA
1/1/2014,15.9,
1/2/2014,16.2,
1/3/2014,16.7,
1/4/2014,16.4,
1/5/2014,16.3,
1/6/2014,15.3,
1/7/2014,14.4,
1/8/2014,14.3,
1/9/2014,14.7,
1/10/2014,15.6,
1/11/2014,17.7,
1/12/2014,17.3,
1/13/2014,16.4,
1/14/2014,16.5,
1/15/2014,17.3,
1/16/2014,17.2,
1/17/2014,17.8,
1/18/2014,18,
1/19/2014,15.8,
1/20/2014,16.9,
1/21/2014,18.2,
1/22/2014,17.7,
1/23/2014,18.1,
1/24/2014,18.5,
1/25/2014,18.8,
1/26/2014,19.2,
1/27/2014,18.8,
1/28/2014,18.4,
1/29/2014,18.6,
1/30/2014,18.4,
1/31/2014,18.5,
2/1/2014,18.1,
2/2/2014,18.2,
2/3/2014,18,
2/4/2014,18.8,
2/5/2014,17.8,
2/6/2014,17.4,
2/7/2014,17.4,o
2/8/2014,15.8,o
2/9/2014,17,o
2/10/2014,17.8,
2/11/2014,18.7,o
2/12/2014,18,
2/13/2014,16.2,
2/14/2014,18.7,o
2/15/2014,16,o
2/16/2014,15.8,o
2/17/2014,16,o
2/18/2014,17.1,
2/19/2014,18.4,
2/20/2014,19,
2/21/2014,20.1,
2/22/2014,21.8,
2/23/2014,21.3,
2/24/2014,21.3,
2/25/2014,21.7,
2/26/2014,21.7,
2/27/2014,22.1,o
2/28/2014,21.3,o
3/1/2014,22.2,
3/2/2014,23,
3/3/2014,23.1,
3/4/2014,21.8,
3/5/2014,19.9,
3/6/2014,20.6,
3/7/2014,20.5,
3/8/2014,18.9,
3/9/2014,22,
3/10/2014,22.4,
3/11/2014,22.6,
3/12/2014,22.2,
3/13/2014,21.7,
3/14/2014,22.7,
3/15/2014,24,
3/16/2014,24.2,
3/17/2014,25.1,
3/18/2014,25.8,
3/19/2014,20.9,o
3/20/2014,22.8,o
3/21/2014,20.7,
3/22/2014,20.8,
3/23/2014,22,
3/24/2014,23.3,
3/25/2014,25.9,
3/26/2014,24.3,
3/27/2014,24.1,
3/28/2014,26,
3/29/2014,22.4,o
3/30/2014,23.3,
3/31/2014,25,o
4/1/2014,23.6,
4/2/2014,22.9,
4/3/2014,22.9,
4/4/2014,20.2,
4/5/2014,24.1,
4/6/2014,26,
4/7/2014,27.2,
4/8/2014,23.1,o
4/9/2014,22.2,o
4/10/2014,25.2,o
4/11/2014,25.3,o
4/12/2014,25.9,
4/13/2014,26.7,
4/14/2014,28.3,
4/15/2014,24.3,
4/16/2014,25.5,
4/17/2014,22.8,
4/18/2014,26.7,
4/19/2014,28.2,
4/20/2014,29.3,
4/21/2014,28.6,
4/22/2014,29.6,
4/23/2014,28.6,
4/24/2014,28.4,o
4/25/2014,26.2,
4/26/2014,27.1,
4/27/2014,28.1,
4/28/2014,24.9,o
4/29/2014,27.3,
4/30/2014,29.4,
5/1/2014,30,
5/2/2014,24.1,o
5/3/2014,23,o
5/4/2014,23.1,o
5/5/2014,25.4,
5/6/2014,25.5,o
5/7/2014,21.2,o
5/8/2014,21.2,o
5/9/2014,21.2,o
5/10/2014,23.3,o
5/11/2014,21.4,o
5/12/2014,23.8,o
5/13/2014,22.2,o
5/14/2014,24.6,o
5/15/2014,24.6,o
5/16/2014,25.8,
5/17/2014,23.4,o
5/18/2014,26.1,
5/19/2014,28.5,
5/20/2014,28.7,
5/21/2014,24.1,o
5/22/2014,23.5,o
5/23/2014,27.1,
5/24/2014,29.7,
5/25/2014,28.8,o
5/26/2014,30.3,
5/27/2014,27.3,o
5/28/2014,28.1,
5/29/2014,26.8,
5/30/2014,29,
5/31/2014,30.4,
6/1/2014,31,
6/2/2014,30.7,
6/3/2014,28.5,o
6/4/2014,27.9,o
6/5/2014,28.2,o
6/6/2014,28,
6/7/2014,29.6,
6/8/2014,28.7,
6/9/2014,27.9,
6/10/2014,28.6,o
6/11/2014,29.4,
6/12/2014,29.4,
6/13/2014,31.1,
6/14/2014,29.3,o
6/15/2014,29.8,o
6/16/2014,29.8,
6/17/2014,31.5,
6/18/2014,32,o
6/19/2014,28.8,o
6/20/2014,27.9,o
6/21/2014,28.9,o
6/22/2014,27.6,o
6/23/2014,28,o
6/24/2014,27.3,o
6/25/2014,30.3,
6/26/2014,30.7,o
6/27/2014,28.1,o
6/28/2014,26.5,o
6/29/2014,27.2,o
6/30/2014,28.8,o
7/1/2014,31.2,
7/2/2014,30.8,
