,ArrivalDate,Price,T,RA
1,9/3/2010,6275,29.1,0
2,9/6/2010,6275,24.9,1
3,9/7/2010,6275,27.1,1
4,9/8/2010,6275,28.2,1
5,9/9/2010,6275,24.6,1
6,9/10/2010,6275,24.4,1
7,9/13/2010,6275,29.6,0
8,9/14/2010,6275,28.2,1
9,9/16/2010,6275,25.8,1
10,9/17/2010,6275,29,1
11,9/20/2010,6275,26.1,0
12,9/21/2010,5900,28,0
13,9/22/2010,5900,28.6,1
14,9/23/2010,5900,29.9,0
15,9/24/2010,5900,27.4,1
16,9/27/2010,5900,26.2,1
17,9/28/2010,5900,24.7,1
18,9/29/2010,5900,27.3,0
19,9/30/2010,5900,28.4,0
20,10/1/2010,5900,27.2,0
21,10/4/2010,5900,28.7,0
22,10/5/2010,5900,28.8,0
23,10/6/2010,5900,26.6,0
24,10/7/2010,5900,27.1,0
25,10/8/2010,5900,24.2,1
26,10/11/2010,5900,25.9,0
27,10/12/2010,5900,26,0
28,10/13/2010,5900,25.7,0
29,10/15/2010,5900,26.8,1
30,10/18/2010,5900,25.1,0
31,10/19/2010,5900,27.3,0
32,10/20/2010,5900,27.9,0
33,10/21/2010,5900,25.2,1
34,10/22/2010,5900,24.6,0
35,10/25/2010,5900,25.2,1
36,10/26/2010,5900,26.1,0
37,10/27/2010,5900,26.2,0
38,10/28/2010,5900,24,1
39,10/29/2010,6150,25.1,0
40,11/1/2010,6150,22.4,1
41,11/2/2010,6150,23,1
42,11/3/2010,6150,23.8,0
43,11/4/2010,6150,23.8,0
44,11/8/2010,6150,22.9,0
45,11/9/2010,6150,22.6,0
46,11/10/2010,6150,22.1,0
47,11/11/2010,6150,23.4,0
48,11/12/2010,6150,23.3,0
49,11/15/2010,6300,21.9,0
50,11/16/2010,6300,22.4,0
51,11/18/2010,6300,22.4,0
52,11/19/2010,6300,21.1,1
53,11/22/2010,6300,18.8,0
54,11/23/2010,6300,19.8,0
55,11/24/2010,6300,19.8,0
56,11/25/2010,6300,20.5,0
57,11/26/2010,6200,22.1,0
58,11/29/2010,6200,20.4,1
59,11/30/2010,6200,18,1
60,12/1/2010,6200,18.6,0
61,12/2/2010,6200,18.7,0
62,12/3/2010,6200,18.6,0
63,12/6/2010,6200,17.5,0
64,12/7/2010,6200,18.1,0
65,12/8/2010,6200,19.8,0
66,12/9/2010,6200,17.2,1
67,12/10/2010,6200,19.3,0
68,12/13/2010,6200,16.8,0
69,12/14/2010,6200,17.4,0
70,12/15/2010,6200,17.8,0
71,12/16/2010,6200,17.4,0
72,12/20/2010,6200,17.1,0
73,12/21/2010,6200,16.1,0
74,12/22/2010,6200,15.7,0
75,12/23/2010,6200,16.9,0
76,12/29/2010,5650,16,0
77,12/30/2010,5650,16.2,0
78,12/31/2010,5500,16.6,0
79,1/3/2011,5500,19.7,0
80,1/4/2011,6050,18.2,1
81,1/5/2011,6050,20.4,0
82,1/6/2011,6050,21.8,0
83,1/7/2011,6050,21.2,0
84,1/10/2011,6000,17.8,1
