"","ArrivalDate","MODALPRICE","arrivalquantity","T","RA"
"1",2012-12-10,6050,0.1,19.7,"0"
"2",2012-12-19,6050,0.1,18.2,"1"
"3",2012-12-20,6050,0.1,16.6,"1"
"4",2012-12-26,5900,0.1,15.6,"0"
"5",2012-12-29,5900,0.1,15.3,"0"
"6",2013-01-07,5900,0.1,16.7,"1"
"7",2013-01-11,5900,0.1,13.2,"0"
"8",2013-02-02,5900,0.1,18.7,"0"
"9",2013-02-07,5900,0.1,19.6,"0"
"10",2013-02-08,5900,0.1,20,"1"
"11",2013-02-11,5900,0.1,20.3,"0"
"12",2013-02-14,5900,0.1,20.7,"0"
"13",2013-02-15,5900,0.1,21,"0"
"14",2013-02-19,5900,0.1,19.8,"0"
"15",2013-02-28,5950,0.1,23.3,"0"
"16",2013-03-05,6450,0.1,25.4,"0"
"17",2013-03-06,6450,0.1,24.2,"0"
"18",2013-03-13,6032,0.1,24.3,"0"
"19",2013-03-16,6000,0.1,23.8,"1"
"20",2013-03-20,6000,0.1,22.3,"0"
"21",2013-03-25,6000,0.1,21.2,"1"
"22",2013-03-26,6000,0.1,21.4,"1"
"23",2013-03-30,6000,0.1,18.8,"1"
"24",2013-04-03,6150,20.9,20.7,"1"
"25",2013-04-04,6150,0.1,19.6,"1"
"26",2013-04-10,6250,0.1,21.3,"1"
"27",2013-04-11,6250,0.1,20.7,"1"
"28",2013-04-12,6250,0.1,22.5,"1"
"29",2013-04-17,6350,0.1,22.4,"1"
"30",2013-04-18,6350,0.1,23.3,"1"
"31",2013-04-19,6850,0.1,20.6,"1"
"32",2013-04-25,6350,0.1,28.1,"0"
"33",2013-04-26,6350,0.1,28.3,"0"
"34",2013-05-09,6350,0.1,25.8,"0"
"35",2013-05-14,6350,0.1,22.5,"1"
"36",2013-05-15,6600,0.1,25.1,"1"
"37",2013-05-16,6600,0.1,25.2,"1"
"38",2013-05-17,6600,0.1,25.1,"1"
"39",2013-05-18,6600,0.1,22.6,"1"
"40",2013-05-20,6600,0.1,27.3,"0"
"41",2013-05-21,6600,0.1,29.1,"0"
"42",2013-05-22,6600,0.1,28.7,"1"
"43",2013-05-23,6600,0.1,27.2,"1"
"44",2013-05-27,6600,0.1,29.5,"1"
"45",2013-05-30,6600,0.1,29.4,"1"
"46",2013-05-31,6600,0.1,27.1,"1"
"47",2013-06-03,6600,0.1,29.8,"1"
"48",2013-06-05,6600,0.1,30.2,"0"
"49",2013-06-06,6600,0.1,28.8,"1"
"50",2013-06-10,6600,0.1,30.3,"1"
"51",2013-06-12,6600,0.1,32,"0"
"52",2013-06-13,6600,0.1,31.3,"0"
"53",2013-06-17,6600,0.1,28.7,"1"
"54",2013-06-18,6600,0.1,26.2,"1"
"55",2013-06-20,6600,0.1,29.9,"0"
"56",2013-06-21,6600,0.1,29.8,"0"
"57",2013-06-24,6600,0.1,30,"1"
"58",2013-06-26,6600,0.1,26.7,"1"
"59",2013-06-27,6600,0.1,25.4,"1"
"60",2013-06-28,6600,0.1,27,"1"
"61",2013-07-01,6600,0.1,27.3,"1"
"62",2013-07-02,6600,0.1,26.9,"1"
"63",2013-07-09,6650,0.1,26.2,"1"
"64",2013-07-20,6650,0.1,27.8,"1"
"65",2013-07-22,6650,0.1,30.1,"0"
"66",2013-07-23,6650,0.1,28.3,"1"
"67",2013-07-25,6700,0.1,28.6,"1"
"68",2013-07-29,6650,0.1,31.5,"0"
"69",2013-07-30,6650,0.1,32.3,"1"
"70",2013-08-01,6650,0.1,29.3,"0"
"71",2013-08-03,6650,0.1,31,"1"
"72",2013-08-05,6600,0.1,25,"1"
"73",2013-08-19,6600,0.1,31.6,"0"
